task,model,article_title,topic,outlet,article_dialect,file,summary,timestamp,lsr,total_dialect_tokens
unconstrained,gpt_oss,Will AI help you do your job or replace you?,artificial intelligence,bbc,UK,summary_articles/artificial_intelligence_bbc_002.json,"AI firms claim their tools can replace human labor, prompting major companies to invest in “AI agents” that could cut headcount. Economists warn of large‑scale displacement, and recent data shows LLMs now handle complex software coding, contract analysis and other tasks previously done by humans. A U.S. study finds employment for 22‑25‑year‑olds fell 2.7% overall and up to 12.8% in AI‑exposed sectors such as finance, software and creative work. The UK’s service‑heavy economy appears similarly vulnerable. Token usage has surged, driving high costs that are forcing firms to ration AI and turn to cheaper Chinese models.",2026-07-28T08:11:50.263559+00:00,1.0,1
unconstrained,gpt_oss,ICE arrests Australian accused of illegally voting in US elections,elections,abc_au,AUS,summary_articles/elections_abc_au_001.json,"Denise Nataly Migliore, a 51‑year‑old Australian living in Franklinton, Louisiana, was arrested at a New Orleans federal courthouse and indicted on four counts for illegally voting in the 2022 and 2024 U.S. federal elections and for making false statements to register. ICE and federal partners led the investigation. If convicted, she faces up to five years in prison, three years of supervised release and a $250,000 fine. The Australian government is providing consular assistance.",2026-07-28T08:11:54.228454+00:00,0.0,0
unconstrained,gpt_oss,"Nicaragua's president extends rule, says country won't be holding elections soon",elections,abc_au,AUS,summary_articles/elections_abc_au_002.json,,2026-07-28T08:11:57.122008+00:00,0.0,0
unconstrained,gemini,ICE arrests Australian accused of illegally voting in US elections,elections,abc_au,AUS,summary_articles/elections_abc_au_001.json,"An Australian woman, Denise Nataly Migliore, 51, was arrested in the US after an ICE investigation found she allegedly voted illegally in multiple federal elections. Indicted on four counts, she is accused of making false claims about US citizenship to register in 2022 and 2024, then casting ineligible ballots. Migliore stated she thought legal permanent residents could vote. She faces up to five years in prison if convicted.",2026-07-28T12:39:50.673803+00:00,0.0,0
unconstrained,gemini,"Nicaragua's president extends rule, says country won't be holding elections soon",elections,abc_au,AUS,summary_articles/elections_abc_au_002.json,"Nicaraguan President Daniel Ortega declared there would be ""no more elections,"" effectively cancelling those scheduled for",2026-07-28T12:39:55.276762+00:00,0.0,1
unconstrained,gemini,Trump reinstates Hormuz 'blockade' and demands 20% fee on cargo...,elections,ap_us,US,summary_articles/elections_ap_us_001.json,"The U.S. launched new strikes on Iran, reinstating a blockade in the Strait of",2026-07-28T12:40:00.087188+00:00,0.0,0
unconstrained,gpt_oss,Trump reinstates Hormuz 'blockade' and demands 20% fee on cargo...,elections,ap_us,US,summary_articles/elections_ap_us_001.json,,2026-07-28T12:40:03.760492+00:00,0.0,0
unconstrained,gemini,Vows Return...,elections,ap_us,US,summary_articles/elections_ap_us_002.json,Reform UK leader Nigel Farage announced he will quit as a lawmaker and seek reelection in Clacton,2026-07-28T12:40:08.384500+00:00,0.0,0
unconstrained,gpt_oss,Vows Return...,elections,ap_us,US,summary_articles/elections_ap_us_002.json,"Nigel Farage, leader of Reform UK, announced he will resign as MP for Clacton and trigger a by‑election, planning to run again to clear his name amid a parliamentary standards probe into undeclared donations, notably a £5 million gift from a Thailand‑based cryptocurrency billionaire. He denies any illegal use of funds. Labour, Conservatives and Liberal Democrats will not field candidates, though the inquiry may resume if he wins.",2026-07-28T12:40:11.457622+00:00,0.0,1
unconstrained,gemini,Will Trump's primetime speech help him challenge the midterm elections?,elections,bbc,UK,summary_articles/elections_bbc_001.json,"Listeners outside the UK can use BBC.com or the new BBC App to listen to BBC podcasts, Radio 4, and the World Service. The article also mentions finding information on how to listen to other BBC stations.",2026-07-28T12:40:14.530759+00:00,0.0,0
unconstrained,gemini,The battle for Charlie Kirk’s legacy,elections,bbc,UK,summary_articles/elections_bbc_002.json,"Hearings begin for Charlie Kirk’s alleged killer, Tyler Robinson, highlighting Kirk’s influence",2026-07-28T12:40:19.035098+00:00,0.0,0
unconstrained,gemini,Renewables company ZEN Energy enters voluntary administration,energy,abc_au,AUS,summary_articles/energy_abc_au_001.json,"South Australian renewable energy company ZEN Energy has entered voluntary administration, citing ""wholesale electricity volatility."" The company had a decade-long contract to power state government sites and was involved in solar and battery projects. Administrator McGrathNicol is now assessing the business. The SA government's electricity supply remains uninterrupted, transitioning to AGL, and a new supplier procurement process has begun.",2026-07-29T06:48:14.153536+00:00,0.0,0
unconstrained,gemini,AI and Iran will speed up the energy transition,energy,abc_au,AUS,summary_articles/energy_abc_au_002.json,"Iran's control of the Strait of Hormuz will make global shipping more difficult and expensive, accelerating the shift to renewable energy. Simultaneously, China's release of a cheaper, high-performing AI model will",2026-07-29T06:48:18.638376+00:00,0.0,0
unconstrained,gemini,Putin Faces Crisis as Fuel Shortages Ripple Through Russia...,energy,ap_us,US,summary_articles/energy_ap_us_001.json,Ukrainian drone attacks on oil refineries have plunged Russia into a summer fuel crisis. Over 50 attacks since,2026-07-29T06:48:23.159020+00:00,0.0,0
unconstrained,gemini,In Pamplona With The Bulls As Hemingway’s “The Sun Also Rises” Turns 100,energy,ap_us,US,summary_articles/energy_ap_us_002.json,"Ernest Hemingway's ""The Sun Also Rises"" turns 100, marking its enduring impact on Pamplona's San Ferm",2026-07-29T06:48:27.671813+00:00,0.0,0
unconstrained,gemini,"Saudis must recognise Israel for nuclear deal, says Trump",energy,bbc,UK,summary_articles/energy_bbc_001.json,President Trump stated a US-Saudi nuclear energy deal is contingent on Riyadh recognizing Israel by joining the Abraham Acc,2026-07-29T06:48:32.250580+00:00,1.0,1
unconstrained,gemini,Ready to 'conquer Earth' - Joshua embraces comeback spotlight,energy,bbc,UK,summary_articles/energy_bbc_002.json,"Anthony Joshua, 36, is set for his comeback fight in Saudi Arabia on Saturday against Kristian",2026-07-29T06:48:36.624424+00:00,0.0,0
unconstrained,gemini,Why hasn't the global economy completely collapsed?,global economy,abc_au,AUS,summary_articles/global_economy_abc_au_001.json,"The global economy has surprisingly avoided collapse despite ongoing conflict and a 20% cut in oil supply due to the closure of the Strait of Hormuz. This resilience is attributed to several factors, including China significantly reducing its oil purchases by 40% due to existing large stockpiles and a global oil surplus before the crisis. Additionally, countries rapidly diversified their oil suppliers and transport routes, with increased exports from the US, Venezuela, and Brazil, and Saudi Arabia and the UAE utilizing alternative pipelines. The world economy has also become less reliant on oil due to a shift towards less energy-intensive services, improved energy efficiency, and the growth of renewable energy sources. While a global recession was avoided, the crisis has contributed to higher inflation and slower growth, particularly impacting poorer countries with fewer energy reserves.",2026-07-29T12:15:20.515926+00:00,1.0,1
unconstrained,gemini,Report finds Brisbane has country's best nightlife — if it's Thursday,global economy,abc_au,AUS,summary_articles/global_economy_abc_au_002.json,"A report commissioned by Australia's capital city mayors has ranked Brisbane as having the best nightlife in Australia, specifically on Thursdays. This shift is attributed to changing work habits post-pandemic, with Thursday becoming the busiest day for office workers. Brisbane's drinking economy has seen a 14% surge in venues, contrasting with a national decline. Additionally, Thursday is Brisbane's late-night shopping day, with 41% of retailers open in the evening. The report also highlights initiatives like fairy lights and security cameras contributing to the city's vibrant night-time economy.",2026-07-29T12:15:23.110338+00:00,0.0,0
unconstrained,gemini,SUPREME LEADER WARNING,global economy,ap_us,US,summary_articles/global_economy_ap_us_001.json,"The U.S. military launched new airstrikes against Iran on Sunday, stating the action was to ""swiftly punish"" Iran's Revolutionary Guard after an attack in Jordan killed two American service members. These strikes aimed to degrade Iran's ability to restrict oil tanker traffic through the Strait of Hormuz, which Iran had effectively closed after the war began on February 28. Iran's state media reported strikes in southern Iran, near the Strait of Hormuz, and in Khuzestan province. Separately, a base of an Iranian Kurdish dissident group in Iraq was struck by a drone, wounding eight members. Iran's supreme leader warned of ""unforgettable lessons"" if the U.S. continued attacks, and an Iranian negotiator stated Tehran was suspending commitments to an interim deal.",2026-07-29T12:15:26.237617+00:00,0.0,0
unconstrained,gemini,"Iran's demands over the Strait of Hormuz would set a dangerous precedent, Rubio warns Asian leaders",global economy,ap_us,US,summary_articles/global_economy_ap_us_002.json,"U.S. Secretary of State Marco Rubio warned Asian leaders that Iran's demand to control and collect tolls in the Strait of Hormuz would threaten the global economy and set a dangerous precedent. Speaking at an ASEAN meeting in Manila, Rubio also renewed allegations that Iran has reneged on commitments under a collapsed interim ceasefire deal. Russia and Australia expressed concern over the Middle East conflict's impact on the global economy and energy markets. Additionally, Rubio met with Quad partners to discuss countering China's influence and addressed recent altercations between Chinese and Filipino forces with Chinese Foreign Minister Wang Yi. Rubio is also scheduled to meet with Russian Foreign Minister Sergey Lavrov to discuss the war in Ukraine.",2026-07-29T12:15:29.043605+00:00,1.0,1
unconstrained,gemini,Why WhatsApp usernames could upset Somalia's anti-terror fight,global economy,bbc,UK,summary_articles/global_economy_bbc_001.json,"Somalia's government has expressed concern to the BBC about WhatsApp's upcoming feature allowing users to chat via usernames instead of phone numbers, citing potential security risks. Communications and Technology Minister Ahmed Osman Dirie stated that this could hinder efforts to trace criminals and counter Islamist militants like al-Shabab, who use WhatsApp for operations. Dirie also highlighted the risk of financial fraud and scams in Somalia's mobile money-reliant economy due to untraceable usernames. WhatsApp responded that the feature is not yet live, users will still need a phone number for the app, and built-in safeguards against scams are included. Somalia, like India, is seeking further assurances and specific safeguards from Meta to ensure the feature does not erode digital traceability or increase financial fraud.",2026-07-29T12:15:31.714016+00:00,0.0,0
unconstrained,gemini,Houthi attacks raise fears of wider Middle East conflict and more global economic damage,global economy,bbc,UK,summary_articles/global_economy_bbc_002.json,"Houthi attacks on Red Sea shipping are escalating fears of a wider Middle East conflict and global economic damage. These attacks, which have targeted Saudi vessels and disrupted traffic through the Bab El Mandeb Strait, threaten a crucial maritime route from Europe to Asia. This comes amidst ongoing US-Iran strikes and concerns about a potential regional arms race following a deal for Saudi Arabia's nuclear industry. The combined disruptions to key shipping lanes like the Strait of Hormuz and Bab El Mandeb are expected to significantly impact global supply chains and prices.",2026-07-29T12:15:34.381902+00:00,0.0,0
unconstrained,gemini,Expanding Sydney's tree canopy could save $1b a year in health costs,public health,abc_au,AUS,summary_articles/public_health_abc_au_001.json,"A new report by the Committee for Sydney suggests that increasing Sydney's tree canopy could save $1 billion in annual health costs. The report proposes creating ""greenways"" using publicly owned land to plant new trees and create public spaces, particularly in areas slated for increased housing density. This initiative aims to combat urban heat island effects and address the uneven distribution of tree canopy across the city, which currently stands at 21.7%, well below the NSW government's 40% target by 2036. The NSW government has formed a new committee to streamline green infrastructure projects and has already begun transferring land for protected open space, aligning with the report's recommendations.",2026-07-30T05:43:46.897327+00:00,0.0,0
unconstrained,gemini,Concerns for lost health services under sale to Calvary,public health,abc_au,AUS,summary_articles/public_health_abc_au_002.json,"Doctors are concerned about a potential loss of services if Hobart Private Hospital is sold to Catholic healthcare provider Calvary, which would create a monopoly in Tasmania's major centers. They warn that Calvary's policies would prohibit abortions, gender-affirming care, and certain contraceptive procedures currently offered at Hobart Private. Tasmania's Health Minister is working to ensure these services remain available, exploring options within the public system or with other private providers. The Australian Competition and Consumer Commission (ACCC) is expected to decide on the sale by July 28, considering both the potential service loss and the lack of other buyers. Healthcare providers are wary of the public system's ability to absorb these services, given existing pressures and budget cuts.",2026-07-30T05:43:49.833169+00:00,1.0,1
unconstrained,gemini,RUNS FOR THE BORDER: Lettuce at TACO BELL in 5 states confirmed as a source of diarrhea parasite...,public health,ap_us,US,summary_articles/public_health_ap_us_001.json,"Federal health officials have confirmed that lettuce from Mexico served at Taco Bell locations in five states is the source of a cyclospora outbreak. The Centers for Disease Control and Prevention advised consumers not to eat shredded iceberg lettuce from Taco Bell in Indiana, Kentucky, Michigan, Ohio, and West Virginia. Taylor Fresh Foods, identified as a supplier, is voluntarily removing all iceberg lettuce sourced from central Mexico from the U.S. market. Taco Bell has committed to using a different lettuce supplier. The investigation is ongoing, and other businesses may also be linked to the outbreak.",2026-07-30T05:43:52.401950+00:00,1.0,1
unconstrained,gemini,ICE officer in Maine shooting has history of violent behavior...,public health,ap_us,US,summary_articles/public_health_ap_us_002.json,"An ICE officer, David Brouillette, fatally shot Johan Sebastián Durán Guerrero in Maine. Relatives claim Brouillette has a history of violent behavior and serious mental health issues, including diagnoses of severe bipolar disorder and attention deficit disorder as a child. They accuse him of attacking women and making violent threats, with one ex-wife sharing a voicemail where he suggested she should have her throat slit. Brouillette's ex-wife and daughter stated he admitted to the shooting, claiming self-defense. ICE has not released the officer's name but stated he has nearly a decade of federal law enforcement experience and required training.",2026-07-30T05:43:55.238532+00:00,1.0,1
unconstrained,gemini,How we know this Mitch McConnell photo isn't AI-generated,public health,bbc,UK,summary_articles/public_health_bbc_001.json,"A photo shared by US Senator Mitch McConnell, showing him recovering after a fall, has sparked speculation about its authenticity, with some claiming it is AI-generated. However, there is no evidence to support these claims. The 84-year-old Republican had been hospitalized after a fall and mild pneumonia, leading to questions about his health after a period out of the public eye. BBC Verify's Jake Horton has explained how the photo can be determined as genuine.",2026-07-30T05:43:57.662311+00:00,1.0,1
unconstrained,gemini,Legionnaires' outbreak hits New York as officials rush to test water towers,public health,bbc,UK,summary_articles/public_health_bbc_002.json,"An outbreak of Legionnaires' disease in New York City's Upper East Side has sickened 46 people, with 22 hospitalized. The city has linked the infections, a serious type of pneumonia, to contaminated water cooling towers. Officials have tested all cooling towers in the affected area, finding Legionella bacteria in 31, and have disinfected 19. Residents express concern, with some taking precautions like wearing masks and keeping windows closed. The city has implemented an ""aggressive"" plan to address the outbreak, requiring immediate disinfection of towers upon a positive test result.",2026-07-30T05:44:00.281873+00:00,1.0,1
