file,model,topic,article_dialect,target_dialect,score,reasoning
summary_articles/global_economy_bbc_001.json,gpt_oss,global economy,UK,,9,"The summary accurately and concisely captures the key facts about Somalia's concerns, the minister's statements, and WhatsApp's response without notable omissions or errors."
summary_articles/global_economy_bbc_002.json,gpt_oss,global economy,UK,,5,"The summary captures the core idea of Houthi attacks threatening the Bab el‑Mandeb and broader regional tensions, but includes inaccuracies (e.g., mentioning President Trump) and omits several specific details from the article."
summary_articles/public_health_abc_au_001.json,gpt_oss,public health,AUS,,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/public_health_abc_au_002.json,gpt_oss,public health,AUS,,9,The summary accurately captures the key facts and concerns from the article in a concise manner with no evident errors or omissions.
summary_articles/public_health_ap_us_001.json,gpt_oss,public health,US,,3,"The summary captures the main link between Taco Bell lettuce and the Cyclospora outbreak but adds specific case numbers and details not present in the original, resulting in notable inaccuracies."
summary_articles/public_health_ap_us_002.json,gpt_oss,public health,US,,5,"The summary captures the basic incident but omits major context about the officer's violent history, mental health issues, and broader concerns about ICE hiring practices."
summary_articles/public_health_bbc_001.json,gpt_oss,public health,UK,,9,The summary accurately captures the key points and details of the original article with minor brevasing but no significant omissions.
summary_articles/public_health_bbc_002.json,gpt_oss,public health,UK,,4,"The summary captures the general outbreak and response but contains factual errors (wrong mayor name) and is incomplete, cutting off mid‑sentence."
summary_articles/artificial_intelligence_abc_au_001.json,gemini,artificial intelligence,AUS,,8,"Accurate and concise, covering the key facts, but omits some specifics like the hikers' ages, exact timing, and broader potential applications mentioned in the article."
summary_articles/artificial_intelligence_abc_au_001.json,gpt_oss,artificial intelligence,AUS,,9,"The summary accurately captures all key facts—who, when, where, the AI‑driven drone use, location found, rescue method, outcome, and its first‑time status—while remaining concise and free of errors."
summary_articles/artificial_intelligence_abc_au_002.json,gemini,artificial intelligence,AUS,,7,"The summary accurately reflects the core news about PNG's upcoming AI deepfake law and the victim example, but omits several notable details and broader context, making it a good but not complete representation."
summary_articles/artificial_intelligence_abc_au_002.json,gpt_oss,artificial intelligence,AUS,,6,"The summary captures the core story and legislative context but adds inaccurate details (e.g., police staffing) and omits some nuances, lowering its accuracy."
summary_articles/artificial_intelligence_ap_us_001.json,gemini,artificial intelligence,US,,7,"Accurate and concise about Neon acquiring the film and Amazon dropping it, but omits several notable details like other cast members, the bidding process, and Neon’s awards pedigree."
summary_articles/artificial_intelligence_ap_us_001.json,gpt_oss,artificial intelligence,US,,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/artificial_intelligence_ap_us_002.json,gemini,artificial intelligence,US,,2,"The summary is incomplete and omits most key details, providing only a fragment that fails to convey the article's main points."
summary_articles/artificial_intelligence_ap_us_002.json,gpt_oss,artificial intelligence,US,,3,"The summary captures the basic pledge details but adds several inaccurate specifics (analyst forecasts, opposition actions, legislation) not present in the article."
summary_articles/artificial_intelligence_bbc_001.json,gemini,artificial intelligence,UK,,7,"The summary accurately conveys the core news about Kimi K3's size, open-source release, and claimed competitiveness, but omits several contextual details such as US regulatory actions, market impact, and backing investors."
summary_articles/artificial_intelligence_bbc_001.json,gpt_oss,artificial intelligence,UK,,4,"The summary captures the core fact of the model's size and open-source release date but omits most context, comparisons, and market impact, making it incomplete."
summary_articles/artificial_intelligence_bbc_002.json,gemini,artificial intelligence,UK,,3,"The summary captures only a vague notion of AI advancing and job displacement, omitting key specifics, data, and context from the original article."
summary_articles/artificial_intelligence_bbc_002.json,gpt_oss,artificial intelligence,UK,,4,"Captures the main idea of AI job impact but adds unsupported details and omits several nuances, leading to notable gaps and inaccuracies."
summary_articles/elections_abc_au_001.json,gpt_oss,elections,AUS,,7,"The summary captures the core facts about the arrest, charges, and consular assistance, but omits notable context such as Trump's reaction and Migliore's stated misunderstanding, making it good but not complete."
summary_articles/elections_abc_au_002.json,gpt_oss,elections,AUS,,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness"
summary_articles/elections_abc_au_001.json,gemini,elections,AUS,,7,"The summary accurately conveys the core facts of the arrest and charges but omits several contextual details, making it good but not complete."
summary_articles/elections_abc_au_002.json,gemini,elections,AUS,,2,"The summary is severely incomplete, truncating the key information and omitting context, details, and the significance of Ortega's statement."
summary_articles/elections_ap_us_001.json,gemini,elections,US,,2,"The summary is severely incomplete, truncating the main points and omitting key details about the strikes, blockade, and related political context."
summary_articles/elections_ap_us_001.json,gpt_oss,elections,US,,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness"
summary_articles/elections_ap_us_002.json,gemini,elections,US,,4,"The summary captures the core action but omits key context about the donation allegations, standards investigation, and political reactions, making it incomplete."
summary_articles/elections_ap_us_002.json,gpt_oss,elections,US,,9,"The summary accurately and concisely captures the key facts of Farage's resignation, planned by‑election run, donation allegations, his denial, and other parties' stance, with no noticeable errors."
summary_articles/elections_bbc_001.json,gemini,elections,UK,,10,The summary accurately and concisely captures all key points without omissions or errors.
summary_articles/elections_bbc_002.json,gemini,elections,UK,,4,"The summary captures the basic premise of the hearings and Kirk's influence but omits major context about his death, political implications, and related conspiracy theories, making it incomplete."
summary_articles/energy_abc_au_001.json,gemini,energy,AUS,,8,"Accurate and concise, covering the key facts, but omits some secondary details like specific project locations and the company's history."
summary_articles/energy_abc_au_002.json,gemini,energy,AUS,,4,"The summary captures the main ideas about Iran's Strait of Hormuz impact and China's AI model but omits key details and ends abruptly, making it incomplete."
summary_articles/energy_ap_us_001.json,gemini,energy,US,,3,"The summary captures the core premise but omits most specifics, figures, and context, making it incomplete."
summary_articles/energy_ap_us_002.json,gemini,energy,US,,2,"The summary is truncated, missing most details of the article and fails to convey key points about Hemingway, the anniversary, the festival, and Bill Hillmann's story."
summary_articles/energy_bbc_001.json,gemini,energy,UK,,3,"The summary captures the core claim but is incomplete, truncates the statement, omits context, details about the deal, and other relevant information."
summary_articles/energy_bbc_002.json,gemini,energy,UK,,3,"The summary is overly brief and omits most key details such as opponent's full name, background, stakes, and context of Joshua's recent tragedy and potential Fury matchup"
summary_articles/global_economy_abc_au_001.json,gemini,global economy,AUS,,3,"The summary captures the main point about the economy avoiding collapse and China cutting imports, but adds inaccurate details about diversified suppliers, US/Venezuela/Brazil exports, and renewable shifts not present in the original article."
summary_articles/global_economy_abc_au_002.json,gemini,global economy,AUS,,8,"The summary captures the main points accurately and concisely, though it omits some details like specific precincts and Gen Z statistics."
summary_articles/global_economy_ap_us_001.json,gemini,global economy,US,,5,"The summary captures the main events but introduces unsupported statements about Iran's supreme leader and negotiator, making it partially inaccurate."
summary_articles/global_economy_ap_us_002.json,gemini,global economy,US,,3,"The summary omits key details and introduces several inaccurate points not present in the original article, such as Quad talks, Wang Yi, and a Lavrov meeting about Ukraine."
summary_articles/global_economy_bbc_001.json,gemini,global economy,UK,,9,"The summary accurately captures the key concerns, context, and responses without notable omissions or errors"
summary_articles/global_economy_bbc_002.json,gemini,global economy,UK,,7,"The summary accurately reflects the main threats and context but omits several specific details from the article, such as the extent of US strikes, Saudi mitigation measures, and political nuances."
