file,model,topic,article_dialect,target_dialect,score,reasoning
summary_articles/artificial_intelligence_bbc_001.json,gpt_oss,artificial intelligence,UK,US,9,"The summary accurately captures the key facts—model size, open-source release date, performance claims, backing, and market impact—while remaining concise and free of hallucinations."
summary_articles/artificial_intelligence_bbc_001.json,gpt_oss,artificial intelligence,UK,UK,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness"
summary_articles/artificial_intelligence_bbc_001.json,gpt_oss,artificial intelligence,UK,AUS,8,"The summary accurately captures the key facts about Moonshot's Kimi K3 model, its size, open-source release date, backing, and claimed performance, though it omits some contextual details like market impact and regulatory backdrop."
summary_articles/artificial_intelligence_bbc_002.json,gpt_oss,artificial intelligence,UK,US,5,"The summary captures the main sectors and statistics but adds inaccurate details (e.g., token usage explosion) and omits context about broader debates and data sources."
summary_articles/artificial_intelligence_bbc_002.json,gpt_oss,artificial intelligence,UK,UK,3,"The summary omits key points, adds inaccurate details (e.g., token usage, Chinese models) not present in the original, and thus is incomplete and contains hallucinations."
summary_articles/artificial_intelligence_bbc_002.json,gpt_oss,artificial intelligence,UK,AUS,1,"No summary was provided, making it completely inaccurate and off-topic."
summary_articles/elections_abc_au_001.json,gpt_oss,elections,AUS,US,7,"The summary accurately conveys the core facts of the arrest and charges but omits several contextual details such as Trump’s reaction, ICE statements, and consular assistance, making it good but not complete."
summary_articles/elections_abc_au_001.json,gpt_oss,elections,AUS,UK,4,"The summary captures the core allegation and arrest but omits key context, quotes, and details about the investigation, reactions, and legal background."
summary_articles/elections_abc_au_001.json,gpt_oss,elections,AUS,AUS,7,"The summary accurately conveys the key facts of Migliore's arrest, charges, and consular assistance, but omits several details such as the specific indictment counts, quotes from officials, and broader context."
summary_articles/elections_abc_au_002.json,gpt_oss,elections,AUS,US,8,"The summary accurately captures the key facts and tone, though it omits some background details like the 2018 crackdown and specific quotes."
summary_articles/elections_abc_au_002.json,gpt_oss,elections,AUS,UK,1,"No summary text was provided to evaluate, making it impossible to assess accuracy or completeness"
summary_articles/elections_abc_au_002.json,gpt_oss,elections,AUS,AUS,9,"The summary accurately captures the key facts and context of Ortega's announcement, its impact on the 2027 election, and the broader authoritarian trend, while remaining concise and free of errors."
summary_articles/elections_ap_us_001.json,gpt_oss,elections,US,US,6,"Mostly accurate and captures main points, but adds an unsupported detail about a 20% toll, making it partially inaccurate."
summary_articles/elections_ap_us_001.json,gpt_oss,elections,US,UK,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness"
summary_articles/elections_ap_us_002.json,gpt_oss,elections,US,US,8,"The summary accurately captures the core events and context, though it omits minor details like his explicit intent to run again and the lack of opposition candidates."
summary_articles/elections_ap_us_002.json,gpt_oss,elections,US,UK,7,"The summary accurately conveys the core news of Farage resigning and re‑contesting amid a donation probe, but omits several contextual details and some quotations, making it slightly incomplete."
summary_articles/elections_ap_us_002.json,gpt_oss,elections,US,AUS,5,"The summary captures the core reason for Farage's resignation and the by‑election but omits key details such as his claims of innocence, the parties' reactions, and the broader context of the investigation."
summary_articles/elections_bbc_001.json,gpt_oss,elections,UK,US,10,The summary accurately and concisely captures all key points of the original without omissions or errors.
summary_articles/elections_bbc_002.json,gpt_oss,elections,UK,US,8,"Accurate and concise, covering the key points about the hearings, conspiracy theories, and GOP concerns over youth voters, but omits peripheral details like podcast hosts and production credits."
summary_articles/elections_bbc_002.json,gpt_oss,elections,UK,UK,8,"Accurately captures the core story about the murder hearings, conspiracy theories, and the political battle over Kirk's youth voter influence, with only minor omissions of ancillary details."
summary_articles/elections_bbc_002.json,gpt_oss,elections,UK,AUS,7,"Accurately captures the core story about the hearings, conspiracy theories, and Republican battle over youth voters, but omits many contextual details from the original."
summary_articles/energy_abc_au_001.json,gpt_oss,energy,AUS,US,8,"Accurate and concise, covering the main facts, but omits some details like the Queensland precinct cancellation and the company's leadership history."
summary_articles/energy_abc_au_001.json,gpt_oss,energy,AUS,UK,7,"The summary accurately conveys the key facts about ZEN Energy's voluntary administration, its government contract and project involvement, and the cited reasons, but omits several notable details such as the retail cessation, transition to AGL, procurement plans, and historical ownership information."
summary_articles/energy_abc_au_001.json,gpt_oss,energy,AUS,AUS,1,"No summary was provided, making it impossible to assess accuracy or completeness."
summary_articles/energy_abc_au_002.json,gpt_oss,energy,AUS,US,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/energy_abc_au_002.json,gpt_oss,energy,AUS,UK,3,"The summary truncates the article, omits major points about broader geopolitical impacts, AI token price effects, EV market shifts, and US implications, making it incomplete and inaccurate."
summary_articles/energy_abc_au_002.json,gpt_oss,energy,AUS,AUS,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/energy_ap_us_001.json,gpt_oss,energy,US,US,8,"Accurate and concise, covering key facts, but omits some details like the number of attacks and specific locations"
summary_articles/energy_ap_us_001.json,gpt_oss,energy,US,UK,8,"Accurate and concise, covering key facts and figures, though it omits some contextual details and quotes from officials"
summary_articles/energy_ap_us_001.json,gpt_oss,energy,US,AUS,8,"The summary accurately conveys the key facts and figures about the fuel crisis and its causes, though it omits some contextual details and specific quotes."
summary_articles/energy_ap_us_002.json,gpt_oss,energy,US,US,8,"Accurate and concise, covering the centennial, festival opening, Hillmann's background and US participation, with minor omissions but no errors."
summary_articles/energy_ap_us_002.json,gpt_oss,energy,US,UK,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/energy_ap_us_002.json,gpt_oss,energy,US,AUS,5,"The summary captures the centenary, Bill Hillmann's experience, and American participation, but adds unmentioned overtourism/animal‑rights issues and omits several key details, indicating notable inaccuracies."
summary_articles/energy_bbc_001.json,gpt_oss,energy,UK,US,9,"The summary accurately reflects the key facts about Trump's condition linking the Saudi nuclear deal to the Abraham Accords, includes the White House confirmation, DOE description, IAEA role, and criticism, while remaining concise and without errors."
summary_articles/energy_bbc_001.json,gpt_oss,energy,UK,UK,5,"The summary captures the main condition and DOE/IAEA details but adds an inaccurate claim about Israel's reaction and omits some context, leading to notable inaccuracies."
summary_articles/energy_bbc_001.json,gpt_oss,energy,UK,AUS,5,"The summary captures the main condition and review process but adds an inaccurate claim that Israel welcomed the prospect, which is not in the original article."
summary_articles/energy_bbc_002.json,gpt_oss,energy,UK,US,8,"The summary accurately conveys the key facts about Joshua's comeback fight and its significance, though it omits some contextual details and quotes."
summary_articles/energy_bbc_002.json,gpt_oss,energy,UK,UK,1,"No summary was provided, making it impossible to assess accuracy or completeness."
summary_articles/energy_bbc_002.json,gpt_oss,energy,UK,AUS,3,"The summary is incomplete and omits most key details, providing only a fragment of the original article."
summary_articles/global_economy_abc_au_001.json,gpt_oss,global economy,AUS,US,3,"The summary contains several inaccuracies and adds details not present in the article, such as a U.S. strike, specific countries like Venezuela and Brazil, and renewable growth, while omitting key points about IEA buffers and China’s storage strategy."
summary_articles/global_economy_abc_au_001.json,gpt_oss,global economy,AUS,UK,5,"The summary captures the main point about oil buffers and China's import cut but adds unsupported details (e.g., Venezuela, Brazil, Singapore, renewables) and omits key facts like Australia's role, resulting in notable inaccuracies."
summary_articles/global_economy_abc_au_001.json,gpt_oss,global economy,AUS,AUS,3,"The summary captures the main point about oil price stability and China's import cut but adds inaccurate details (e.g., Venezuela, Brazil, Singapore, energy intensity trends) and omits key context, resulting in notable hallucinations."
summary_articles/global_economy_abc_au_002.json,gpt_oss,global economy,AUS,US,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness"
summary_articles/global_economy_abc_au_002.json,gpt_oss,global economy,AUS,UK,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/global_economy_abc_au_002.json,gpt_oss,global economy,AUS,AUS,9,"The summary accurately captures the key findings and initiatives from the article, is concise, and contains no evident errors or omissions."
summary_articles/global_economy_ap_us_001.json,gpt_oss,global economy,US,US,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/global_economy_ap_us_001.json,gpt_oss,global economy,US,UK,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/global_economy_ap_us_001.json,gpt_oss,global economy,US,AUS,1,"No summary was provided to evaluate, making it impossible to assess accuracy or completeness."
summary_articles/global_economy_ap_us_002.json,gpt_oss,global economy,US,US,1,"No summary was provided to evaluate, making the response impossible to assess."
summary_articles/global_economy_ap_us_002.json,gpt_oss,global economy,US,UK,4,Captures main warning about Iran and Strait of Hormuz but adds inaccurate details about Quad and Indian counterparts not mentioned in the original.
summary_articles/global_economy_ap_us_002.json,gpt_oss,global economy,US,AUS,4,"The summary captures the main warning about Iran's tolls but adds inaccurate details (e.g., Quad partners) and omits key points about other diplomats and specific statements, leading to notable gaps and errors."
summary_articles/global_economy_bbc_001.json,gpt_oss,global economy,UK,US,8,"The summary accurately captures the key concerns, Meta's response, and the parallel with India, though it omits some details like the minister's name and specific statements about regulation."
